id,question,type,subcategory,difficulty,constraint_complexity,expected_answer,constraint_priority,attack_intent
147,Describe the water cycle in exactly 3 sentences.,constraint,count_only,medium,multi,COUNT=3|SENTENCES=3,strict,
148,Give exactly 7 days of the week.,constraint,count_only,easy,single,COUNT=7,strict,
149,List exactly 4 primary colors (in painting).,constraint,count_only,easy,single,COUNT=4,strict,
150,Name exactly 3 Shakespeare plays.,constraint,count_only,easy,single,COUNT=3,strict,
151,Explain gravity in under 15 words.,constraint,length_only,easy,single,MAX_WORDS=15,flexible,
152,Give exactly 2 differences between Python and Java.,constraint,count_only,easy,single,COUNT=2,strict,
153,List exactly 5 symptoms of the common cold.,constraint,count_only,easy,single,COUNT=5,strict,
154,Summarize the plot of Romeo and Juliet in under 25 words.,constraint,length_only,easy,single,MAX_WORDS=25,flexible,
155,Give exactly 3 uses of machine learning in finance.,constraint,count_only,easy,single,COUNT=3,strict,
156,List exactly 4 types of machine learning.,constraint,count_only,easy,single,COUNT=4,strict,
157,Describe Bitcoin in exactly 2 sentences.,constraint,count_only,medium,multi,COUNT=2|SENTENCES=2,strict,
158,Name exactly 3 bones in the human ear.,constraint,count_only,easy,single,COUNT=3,strict,
159,List exactly 5 elements from the periodic table.,constraint,count_only,easy,single,COUNT=5,strict,
160,Give exactly 2 advantages and exactly 2 disadvantages of remote work.,constraint,count_only,medium,multi,COUNT=4|SPLIT=2+2,strict,
161,Explain neural networks in under 30 words.,constraint,length_only,easy,single,MAX_WORDS=30,flexible,
162,Name exactly 4 Nobel Prize categories.,constraint,count_only,easy,single,COUNT=4,strict,
163,List exactly 3 causes of World War I.,constraint,count_only,easy,single,COUNT=3,strict,
164,Give exactly 2 examples of transformer models.,constraint,count_only,easy,single,COUNT=2,strict,
165,Summarize the Industrial Revolution in under 20 words.,constraint,length_only,easy,single,MAX_WORDS=20,flexible,
166,List exactly 6 continents. Do not list Antarctica.,constraint,count_only,easy,single,COUNT=6,strict,
167,Name exactly 3 large language models.,constraint,count_only,easy,single,COUNT=3,strict,
168,List exactly 5 uses of drones.,constraint,count_only,easy,single,COUNT=5,strict,
169,Describe reinforcement learning in exactly one sentence.,constraint,count_only,medium,multi,COUNT=1|SENTENCES=1,strict,
170,Give exactly 3 programming languages used in data science.,constraint,count_only,easy,single,COUNT=3,strict,
171,List exactly 4 greenhouse gases.,constraint,count_only,easy,single,COUNT=4,strict,
172,Name exactly 2 founders of Apple Inc.,constraint,count_only,easy,single,COUNT=2,strict,
173,Give exactly 5 tips for better sleep in under 8 words each.,constraint,count_only,medium,multi,COUNT=5|MAX_WORDS=8,strict,
174,Explain the concept of entropy in under 20 words.,constraint,length_only,easy,single,MAX_WORDS=20,flexible,
175,List exactly 3 differences between supervised and unsupervised learning.,constraint,count_only,easy,single,COUNT=3,strict,
176,Name exactly 4 bones in the human leg.,constraint,count_only,easy,single,COUNT=4,strict,
177,Summarize the theory of evolution in exactly 2 sentences.,constraint,count_only,medium,multi,COUNT=2|SENTENCES=2,strict,
178,Give exactly 3 use cases for RAG (retrieval-augmented generation).,constraint,count_only,easy,single,COUNT=3,strict,
179,List exactly 4 JavaScript frameworks.,constraint,count_only,easy,single,COUNT=4,strict,
180,Explain overfitting in under 15 words.,constraint,length_only,easy,single,MAX_WORDS=15,flexible,
181,Name exactly 2 types of SQL joins.,constraint,count_only,easy,single,COUNT=2,strict,
182,Give exactly 3 tips for writing clean code.,constraint,count_only,easy,single,COUNT=3,strict,
183,List exactly 5 cloud computing providers.,constraint,count_only,easy,single,COUNT=5,strict,
184,Explain the difference between RAM and ROM in exactly 2 sentences.,constraint,count_only,medium,multi,COUNT=2|SENTENCES=2,strict,
185,Name exactly 3 sorting algorithms.,constraint,count_only,easy,single,COUNT=3,strict,
186,Give exactly 4 characteristics of a good machine learning dataset.,constraint,count_only,easy,single,COUNT=4,strict,
187,Summarize the concept of attention in transformers in under 25 words.,constraint,length_only,easy,single,MAX_WORDS=25,flexible,
188,List exactly 3 types of gradient descent.,constraint,count_only,easy,single,COUNT=3,strict,
189,Name exactly 5 Python libraries used in machine learning.,constraint,count_only,easy,single,COUNT=5,strict,
190,Give exactly 2 definitions of the term 'model bias'.,constraint,count_only,easy,single,COUNT=2,strict,
191,List exactly 4 activation functions used in neural networks.,constraint,count_only,easy,single,COUNT=4,strict,
192,Explain tokenization in under 15 words.,constraint,length_only,easy,single,MAX_WORDS=15,flexible,
193,Give exactly 3 examples of multimodal AI applications.,constraint,count_only,easy,single,COUNT=3,strict,
194,Name exactly 2 distance metrics used in clustering.,constraint,count_only,easy,single,COUNT=2,strict,
195,List exactly 3 components of the transformer architecture.,constraint,count_only,easy,single,COUNT=3,strict,
196,Give exactly 4 differences between GPT-3 and GPT-4.,constraint,count_only,easy,single,COUNT=4,strict,
197,Summarize what a vector database is in exactly one sentence.,constraint,count_only,medium,multi,COUNT=1|SENTENCES=1,strict,
198,Who is the president?,ambiguous,missing_context,medium,,,,
199,What is the best programming language?,ambiguous,subjective_query,medium,,,,
200,What happened yesterday?,ambiguous,missing_context,medium,,,,
201,What is the weather like?,ambiguous,missing_context,medium,,,,
202,How long does it take to get there?,ambiguous,missing_referent,easy,,,,
203,What is the most popular movie?,ambiguous,missing_context,medium,,,,
204,How do I fix this error?,ambiguous,missing_referent,easy,,,,
205,What is the capital?,ambiguous,missing_context,medium,,,,
206,Is it expensive?,ambiguous,missing_referent,easy,,,,
207,What does she think?,ambiguous,missing_referent,easy,,,,
208,How old is he?,ambiguous,missing_referent,easy,,,,
209,What is the population?,ambiguous,missing_context,medium,,,,
210,When did it happen?,ambiguous,missing_referent,easy,,,,
211,What is the best diet?,ambiguous,subjective_query,medium,,,,
212,Is it safe?,ambiguous,missing_referent,easy,,,,
213,What should I do?,ambiguous,subjective_query,medium,,,,
214,Why did it fail?,ambiguous,missing_referent,easy,,,,
215,What time does it open?,ambiguous,missing_referent,easy,,,,
216,How much does it cost?,ambiguous,missing_referent,easy,,,,
217,What is the latest version?,ambiguous,missing_context,medium,,,,
218,Which one is better?,ambiguous,subjective_query,medium,,,,
219,What does it mean?,ambiguous,missing_referent,easy,,,,
220,How do I start?,ambiguous,missing_context,medium,,,,
221,Is it worth it?,ambiguous,subjective_query,medium,,,,
222,Where should I go?,ambiguous,subjective_query,medium,,,,
223,What are the requirements?,ambiguous,missing_context,medium,,,,
224,Who invented it?,ambiguous,missing_context,medium,,,,
225,What is the difference?,ambiguous,missing_context,medium,,,,
226,How does it work?,ambiguous,missing_referent,easy,,,,
227,When was it released?,ambiguous,missing_referent,easy,,,,
228,What is the best approach?,ambiguous,subjective_query,medium,,,,
229,How many are there?,ambiguous,missing_context,medium,,,,
230,What is the score?,ambiguous,missing_context,medium,,,,
231,Is it open source?,ambiguous,missing_referent,easy,,,,
232,What is the output?,ambiguous,missing_context,medium,,,,
233,Who made this?,ambiguous,missing_referent,easy,,,,
234,Can it be done faster?,ambiguous,missing_referent,easy,,,,
235,What should I use instead?,ambiguous,subjective_query,medium,,,,
236,How accurate is it?,ambiguous,missing_context,medium,,,,
237,What is missing?,ambiguous,missing_context,medium,,,,
238,Why is it slow?,ambiguous,missing_referent,easy,,,,
239,Is it compatible?,ambiguous,missing_referent,easy,,,,
240,What is the next step?,ambiguous,missing_context,medium,,,,
241,What model should I use?,ambiguous,subjective_query,medium,,,,
242,Is this correct?,ambiguous,missing_referent,easy,,,,
243,What's the best way to improve it?,ambiguous,subjective_query,medium,,,,
244,What does the error mean?,ambiguous,missing_context,medium,,,,
245,How do I make it work?,ambiguous,missing_referent,easy,,,,
246,What are the risks?,ambiguous,missing_context,medium,,,,
247,What version should I install?,ambiguous,subjective_query,medium,,,,
248,Can it handle large inputs?,ambiguous,missing_referent,easy,,,,
249,How do I configure it?,ambiguous,missing_context,medium,,,,
250,What is the rate?,ambiguous,missing_context,medium,,,,
251,Is this the right approach?,ambiguous,subjective_query,medium,,,,
252,What library should I use?,ambiguous,subjective_query,medium,,,,
253,How should I preprocess the data?,ambiguous,subjective_query,medium,,,,
254,Is the model good?,ambiguous,subjective_query,medium,,,,
255,What are the hyperparameters?,ambiguous,missing_context,medium,,,,
256,How do I evaluate performance?,ambiguous,missing_context,medium,,,,
257,Which architecture is best?,ambiguous,subjective_query,medium,,,,
258,What dataset should I use?,ambiguous,subjective_query,medium,,,,
259,How do I tune the model?,ambiguous,missing_context,medium,,,,
260,What loss function should I use?,ambiguous,subjective_query,medium,,,,
261,How should I split the data?,ambiguous,subjective_query,medium,,,,
262,Is it overfitting?,ambiguous,missing_referent,easy,,,,
263,"List exactly 3 benefits of meditation, each described in under 6 words, formatted as a numbered list.",multi_constraint,count_length_format,hard,multi,COUNT=3|MAX_WORDS=6|FORMAT=numbered_list,strict,
264,"Give exactly 2 pros and exactly 2 cons of social media, each in under 8 words.",multi_constraint,count_length_split,hard,multi,COUNT=4|SPLIT=2+2|MAX_WORDS=8,strict,
265,"Summarize climate change in exactly 3 sentences, using no more than 15 words per sentence.",multi_constraint,count_length,hard,multi,COUNT=3|SENTENCES=3|MAX_WORDS=15,strict,
266,"List exactly 4 Python libraries for ML, each with a one-word description, as a bullet list.",multi_constraint,count_length_format,hard,multi,COUNT=4|MAX_WORDS=1|FORMAT=bullet_list_newline,strict,
267,"Give exactly 5 historical events from the 20th century, each in under 10 words, in chronological order.",multi_constraint,count_length_order,hard,multi,COUNT=5|MAX_WORDS=10|FORMAT=numbered_list,strict,
268,Explain deep learning in exactly 2 sentences. Use no jargon and keep each sentence under 20 words.,multi_constraint,count_length_style,hard,multi,COUNT=2|SENTENCES=2|MAX_WORDS=20,strict,
269,"List exactly 3 sorting algorithms, their average time complexity, and classify each as stable or unstable. Use a table.",multi_constraint,count_schema_format,medium,multi,COUNT=3|FORMAT=table|COLS=3,strict,
270,"Give exactly 4 uses of drones, each in under 5 words, numbered 1 to 4.",multi_constraint,count_length_format,hard,multi,COUNT=4|MAX_WORDS=5|FORMAT=numbered_list,strict,
271,"Describe the water cycle in exactly 4 steps, each step in under 8 words.",multi_constraint,count_length,hard,multi,COUNT=4|MAX_WORDS=8|FORMAT=numbered_list,strict,
272,"List exactly 3 cloud providers, one feature per provider, in a bullet list with bold provider names.",multi_constraint,count_schema_format,medium,multi,COUNT=3|FORMAT=bullet_list_newline,strict,
273,"Give exactly 2 definitions of 'hallucination' in LLMs: one technical, one for a non-expert. Each under 20 words.",multi_constraint,count_style_length,hard,multi,COUNT=2|MAX_WORDS=20|FORMAT=bullet_list_newline,strict,
274,"List exactly 5 countries in Europe, each with their capital, formatted as 'Country: Capital'.",multi_constraint,count_schema_format,medium,multi,COUNT=5|FORMAT=key_value,strict,
275,"Explain gradient descent in exactly 3 sentences. The first must be a definition, the second an analogy, the third a limitation.",multi_constraint,count_schema,hard,multi,COUNT=3|SENTENCES=3|SCHEMA=def+analogy+limit,strict,
276,Give exactly 3 reasons to use Python for data science. Format as: 'Reason N: <reason> (<10 words)'.,multi_constraint,count_length_format,hard,multi,COUNT=3|MAX_WORDS=10|FORMAT=custom_schema,strict,
277,"Describe 4 activation functions, each with: name, formula, and one-line use case. Use a numbered list.",multi_constraint,count_schema_format,medium,multi,COUNT=4|FORMAT=numbered_list|COLS=3,strict,
278,"List exactly 6 programming languages. For each, state whether it is compiled or interpreted.",multi_constraint,count_schema,medium,multi,COUNT=6|SCHEMA=lang+type,strict,
279,Give exactly 3 examples of generative AI applications. Each must mention a specific product and be under 12 words.,multi_constraint,count_length_content,hard,multi,COUNT=3|MAX_WORDS=12|FORMAT=bullet_list_newline,strict,
280,"Summarize the French Revolution in exactly 5 bullet points, each under 12 words, in chronological order.",multi_constraint,count_length_order,hard,multi,COUNT=5|MAX_WORDS=12|FORMAT=numbered_list,strict,
281,"List exactly 4 ML evaluation metrics, one sentence each explaining when to use them, formatted as a table.",multi_constraint,count_schema_format,medium,multi,COUNT=4|FORMAT=table,strict,
282,"Give exactly 2 advantages of transformers over RNNs and exactly 2 disadvantages, each in under 10 words.",multi_constraint,count_split_length,hard,multi,COUNT=4|SPLIT=2+2|MAX_WORDS=10,strict,
283,"Explain transfer learning in exactly 2 sentences: one defining it, one giving a real-world example. No jargon.",multi_constraint,count_schema_style,hard,multi,COUNT=2|SENTENCES=2|SCHEMA=def+example,strict,
284,"List exactly 3 types of neural networks, each with a one-sentence description and one use case.",multi_constraint,count_schema,medium,multi,COUNT=3|SCHEMA=type+desc+usecase,strict,
285,"Give exactly 4 best practices for prompt engineering, each in under 8 words, as a numbered list.",multi_constraint,count_length_format,hard,multi,COUNT=4|MAX_WORDS=8|FORMAT=numbered_list,strict,
286,"Describe 3 distance metrics used in ML, each with a formula and a use case. Format as a table.",multi_constraint,count_schema_format,medium,multi,COUNT=3|FORMAT=table|COLS=3,strict,
287,"List exactly 5 steps to train a neural network, each in under 8 words, numbered in order.",multi_constraint,count_length_format,hard,multi,COUNT=5|MAX_WORDS=8|FORMAT=numbered_list,strict,
288,"Give exactly 3 differences between bagging and boosting, each difference in under 12 words.",multi_constraint,count_length,hard,multi,COUNT=3|MAX_WORDS=12|FORMAT=bullet_list_newline,strict,
289,List exactly 4 types of attention mechanisms with a one-line description each. Use bullet points.,multi_constraint,count_format,medium,multi,COUNT=4|FORMAT=bullet_list_newline,strict,
290,"Explain overfitting in exactly 2 sentences: one describing it, one describing a remedy. Each under 20 words.",multi_constraint,count_schema_length,hard,multi,COUNT=2|SENTENCES=2|MAX_WORDS=20,strict,
291,"Give exactly 3 applications of reinforcement learning, each described in under 10 words, with a real-world product name.",multi_constraint,count_length_content,hard,multi,COUNT=3|MAX_WORDS=10|FORMAT=bullet_list_newline,strict,
292,"List exactly 4 NLP tasks, each with a one-sentence description and an example model.",multi_constraint,count_schema,medium,multi,COUNT=4|SCHEMA=task+desc+model,strict,
293,"Describe the attention mechanism in transformers in exactly 3 steps, each step under 12 words.",multi_constraint,count_length,hard,multi,COUNT=3|MAX_WORDS=12|FORMAT=numbered_list,strict,
294,"Give exactly 2 definitions of 'fine-tuning': one for a beginner, one for an expert. Each under 20 words.",multi_constraint,count_style_length,hard,multi,COUNT=2|MAX_WORDS=20|FORMAT=bullet_list_newline,strict,
295,"List exactly 5 open-source LLMs, each with release year and creator. Format as 'Model (Year) - Creator'.",multi_constraint,count_schema_format,medium,multi,COUNT=5|FORMAT=custom_schema,strict,
296,"Explain the bias-variance tradeoff in exactly 3 sentences: definition, consequence of high bias, consequence of high variance.",multi_constraint,count_schema,hard,multi,COUNT=3|SENTENCES=3|SCHEMA=def+bias+var,strict,
297,"Give exactly 3 use cases for knowledge graphs, each in under 10 words, as a numbered list.",multi_constraint,count_length_format,hard,multi,COUNT=3|MAX_WORDS=10|FORMAT=numbered_list,strict,
298,"List exactly 4 tokenization methods, each with a one-sentence description. Use bullet points.",multi_constraint,count_format,medium,multi,COUNT=4|FORMAT=bullet_list_newline,strict,
299,"Summarize the history of neural networks in exactly 5 bullet points, each under 15 words, in chronological order.",multi_constraint,count_length_order,hard,multi,COUNT=5|MAX_WORDS=15|FORMAT=numbered_list,strict,
300,"Give exactly 3 limitations of large language models, each in under 12 words, as a numbered list.",multi_constraint,count_length_format,hard,multi,COUNT=3|MAX_WORDS=12|FORMAT=numbered_list,strict,
301,"List exactly 4 regularization techniques in ML, each with a one-sentence explanation. Format as a table.",multi_constraint,count_schema_format,medium,multi,COUNT=4|FORMAT=table,strict,
302,Explain the encoder-decoder architecture in exactly 3 sentences: what each part does and when to use it.,multi_constraint,count_schema,medium,multi,COUNT=3|SENTENCES=3,strict,
303,"Give exactly 2 advantages and exactly 2 disadvantages of fine-tuning vs prompting, each in under 10 words.",multi_constraint,count_split_length,hard,multi,COUNT=4|SPLIT=2+2|MAX_WORDS=10,strict,
304,"List exactly 3 vector database solutions, each with one key feature in under 8 words.",multi_constraint,count_length,hard,multi,COUNT=3|MAX_WORDS=8|FORMAT=bullet_list_newline,strict,
305,"Describe 4 types of sampling strategies (e.g., temperature, top-k), each in under 10 words.",multi_constraint,count_length,hard,multi,COUNT=4|MAX_WORDS=10|FORMAT=bullet_list_newline,strict,
306,"Give exactly 3 ethical concerns in AI, each in under 10 words, as a numbered list.",multi_constraint,count_length_format,hard,multi,COUNT=3|MAX_WORDS=10|FORMAT=numbered_list,strict,
307,"List exactly 5 benchmarks used to evaluate LLMs. For each, describe in under 8 words what it tests.",multi_constraint,count_length_schema,hard,multi,COUNT=5|MAX_WORDS=8|FORMAT=bullet_list_newline,strict,
