id,category,subcategory,difficulty,question,expected_answer,constraint_complexity,constraint_priority,anchor_topic,pair_id,failure_mode,isolation_rationale,analysis_scope
15,compliance_tier1,count_only,hard,State exactly 4 architectural styles from history.,COUNT=4,tier1,strict,architecture,anchor_architecture_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
16,compliance_tier1,count_only,hard,Outline exactly 3 drivers of biodiversity loss.,COUNT=3,tier1,strict,biodiversity,anchor_biodiversity_t1,compliance,Single COUNT constraint; failure to produce exactly N items is isolated signal,primary
17,compliance_tier1,count_only,easy,List exactly 5 travel destinations.,COUNT=5,tier1,strict,,,compliance,Single COUNT constraint,primary
18,compliance_tier1,count_only,easy,Name exactly 4 team sports.,COUNT=4,tier1,strict,,,compliance,Single COUNT constraint,primary
19,compliance_tier1,count_only,easy,Provide exactly 6 tropical fruits.,COUNT=6,tier1,strict,,,compliance,Single COUNT constraint,primary
20,compliance_tier1,count_only,easy,List exactly 4 pop musicians.,COUNT=4,tier1,strict,,,compliance,Single COUNT constraint,primary
21,compliance_tier1,count_only,easy,Identify exactly 5 breakfast foods.,COUNT=5,tier1,strict,,,compliance,Single COUNT constraint,primary
22,compliance_tier1,count_only,easy,State exactly 8 planets of our solar system.,COUNT=8,tier1,strict,,,compliance,Single COUNT constraint with non-default value (anti-shortcut),primary
23,compliance_tier1,count_only,hard,Specify exactly 8 fundamental forces and interactions studied in classical mechanics.,COUNT=8,tier1,strict,,,compliance,Single COUNT constraint with non-default value (anti-shortcut),primary
24,compliance_tier1,count_only,medium,Name exactly 2 forms of solar energy collection.,COUNT=2,tier1,strict,,,compliance,Single COUNT constraint with non-default value (anti-shortcut),primary
25,compliance_tier1,count_only,medium,Give exactly 3 famous telescopes.,COUNT=3,tier1,strict,,,compliance,Single COUNT constraint,primary
26,compliance_tier1,count_only,medium,Identify exactly 2 branches of calculus.,COUNT=2,tier1,strict,,,compliance,Single COUNT constraint with non-default value (anti-shortcut),primary
27,compliance_tier1,count_only,hard,Outline exactly 9 muses in Greek mythology.,COUNT=9,tier1,strict,,,compliance,Single COUNT constraint with non-default value (anti-shortcut),primary
28,compliance_tier1,count_only,easy,Provide exactly 7 colours of the visible light spectrum.,COUNT=7,tier1,strict,,,compliance,Single COUNT constraint with non-default value (anti-shortcut),primary
29,compliance_tier1,count_only,medium,Enumerate exactly 7 deadly sins as defined in classical Christian theology.,COUNT=7,tier1,strict,,,compliance,Single COUNT constraint with non-default value (anti-shortcut),primary
30,compliance_tier1,count_only,hard,Give exactly 9 Supreme Court justices currently serving in the United States.,COUNT=9,tier1,strict,,,compliance,Single COUNT constraint with non-default value (anti-shortcut),primary
31,compliance_tier1,forbidden_only,easy,"Describe a beach holiday without using the word ""sand"".",FORBIDDEN=sand,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
32,compliance_tier1,forbidden_only,easy,"Explain what a doctor does without using the word ""medicine"".",FORBIDDEN=medicine,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
33,compliance_tier1,forbidden_only,easy,"Describe a sunset without using the word ""sky"".",FORBIDDEN=sky,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
34,compliance_tier1,forbidden_only,medium,"Explain what cooking is without using the word ""food"".",FORBIDDEN=food,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
35,compliance_tier1,forbidden_only,medium,"Describe a forest without using the word ""tree"".",FORBIDDEN=tree,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
36,compliance_tier1,forbidden_only,medium,"Explain how computers work without using the word ""chip"".",FORBIDDEN=chip,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
37,compliance_tier1,forbidden_only,hard,"Describe an opera without using the word ""music"".",FORBIDDEN=music,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
38,compliance_tier1,forbidden_only,hard,"Explain what photosynthesis is without using the word ""light"".",FORBIDDEN=light,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
39,compliance_tier1,forbidden_only,hard,"Describe an election without using the word ""vote"".",FORBIDDEN=vote,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
40,compliance_tier1,forbidden_only,hard,"Explain what a vaccine does without using the word ""immune"".",FORBIDDEN=immune,tier1,strict,,,compliance,Single FORBIDDEN constraint,primary
41,compliance_tier1,format_only,easy,Name some types of clouds.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
42,compliance_tier1,format_only,easy,Name some major world religions.,FORMAT=bullet_list_newline,tier1,strict,,,compliance,Single FORMAT constraint,primary
43,compliance_tier1,format_only,easy,Name some primary musical instruments.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
44,compliance_tier1,format_only,easy,Name some common house pets.,FORMAT=bullet_list_newline,tier1,strict,,,compliance,Single FORMAT constraint,primary
45,compliance_tier1,format_only,easy,Name some types of triangles.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
46,compliance_tier1,format_only,easy,Name some classical Greek philosophers.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
47,compliance_tier1,format_only,medium,Name some common SQL clauses.,FORMAT=bullet_list_newline,tier1,strict,,,compliance,Single FORMAT constraint,primary
48,compliance_tier1,format_only,medium,Name some neurotransmitters in the human brain.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
49,compliance_tier1,format_only,medium,Name some types of market structure.,FORMAT=bullet_list_newline,tier1,strict,,,compliance,Single FORMAT constraint,primary
50,compliance_tier1,format_only,medium,Name some major European philosophers.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
51,compliance_tier1,format_only,medium,Name some common JavaScript frameworks.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
52,compliance_tier1,format_only,medium,Name some forms of government.,FORMAT=bullet_list_newline,tier1,strict,,,compliance,Single FORMAT constraint,primary
53,compliance_tier1,format_only,medium,Name some methods of statistical inference.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
54,compliance_tier1,format_only,hard,Name some major schools of analytic philosophy.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
55,compliance_tier1,format_only,hard,Name some types of cryptographic primitive.,FORMAT=bullet_list_newline,tier1,strict,,,compliance,Single FORMAT constraint,primary
56,compliance_tier1,format_only,hard,Name some named graph algorithms.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
57,compliance_tier1,format_only,hard,Name some classes of differential equation.,FORMAT=bullet_list_newline,tier1,strict,,,compliance,Single FORMAT constraint,primary
58,compliance_tier1,format_only,hard,Name some categories of complexity class.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
59,compliance_tier1,format_only,hard,Name some types of phonological process.,FORMAT=numbered_list,tier1,strict,,,compliance,Single FORMAT constraint,primary
60,compliance_tier1,format_only,hard,Name some axioms of set theory.,FORMAT=bullet_list_newline,tier1,strict,,,compliance,Single FORMAT constraint,primary
61,compliance_tier1,length_only,easy,Explain what an algorithm is in under 20 words.,MAX_WORDS=20,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
62,compliance_tier1,length_only,easy,Define the term ecosystem in under 15 words.,MAX_WORDS=15,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
63,compliance_tier1,length_only,easy,Describe what gravity does in under 12 words.,MAX_WORDS=12,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
64,compliance_tier1,length_only,easy,Explain what democracy means in under 18 words.,MAX_WORDS=18,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
65,compliance_tier1,length_only,easy,Describe the function of the heart in under 15 words.,MAX_WORDS=15,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
66,compliance_tier1,length_only,easy,Define inflation in under 14 words.,MAX_WORDS=14,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
67,compliance_tier1,length_only,easy,Explain what DNA stores in under 12 words.,MAX_WORDS=12,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
68,compliance_tier1,length_only,medium,Describe how a thermometer works in under 18 words.,MAX_WORDS=18,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
69,compliance_tier1,length_only,medium,Explain the doppler effect in under 16 words.,MAX_WORDS=16,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
70,compliance_tier1,length_only,medium,Define what a polymer is in under 14 words.,MAX_WORDS=14,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
71,compliance_tier1,length_only,medium,Describe how vaccines train the immune system in under 18 words.,MAX_WORDS=18,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
72,compliance_tier1,length_only,medium,Explain natural selection in under 15 words.,MAX_WORDS=15,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
73,compliance_tier1,length_only,medium,Define social contract theory in under 20 words.,MAX_WORDS=20,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
74,compliance_tier1,length_only,medium,Explain the prisoner's dilemma in under 18 words.,MAX_WORDS=18,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
75,compliance_tier1,length_only,hard,Describe how stack memory differs from heap in under 20 words.,MAX_WORDS=20,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
76,compliance_tier1,length_only,hard,Explain the Curry-Howard correspondence in under 20 words.,MAX_WORDS=20,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
77,compliance_tier1,length_only,hard,Define what a Markov chain is in under 16 words.,MAX_WORDS=16,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
78,compliance_tier1,length_only,hard,Describe the principle of bounded rationality in under 18 words.,MAX_WORDS=18,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
79,compliance_tier1,length_only,hard,Explain what a homomorphism is in under 15 words.,MAX_WORDS=15,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
80,compliance_tier1,length_only,hard,Define the concept of supervenience in under 18 words.,MAX_WORDS=18,tier1,flexible,,,compliance,Single MAX_WORDS constraint,primary
81,compliance_tier2,count_forbidden,easy,"Provide exactly 4 common breakfast items, without using the word 'eggs'.",COUNT=4|FORBIDDEN=eggs,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
82,compliance_tier2,count_forbidden,easy,"List exactly 5 European cities, without using the word 'Paris'.",COUNT=5|FORBIDDEN=Paris,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
83,compliance_tier2,count_forbidden,easy,"Identify exactly 4 common pets, without using the word 'dog'.",COUNT=4|FORBIDDEN=dog,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
84,compliance_tier2,count_forbidden,easy,"Enumerate exactly 4 summer holiday activities, without using the word 'beach'.",COUNT=4|FORBIDDEN=beach,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
85,compliance_tier2,count_forbidden,easy,"List exactly 4 common kitchen tools, without using the word 'knife'.",COUNT=4|FORBIDDEN=knife,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
86,compliance_tier2,count_forbidden,easy,"Specify exactly 4 common social media platforms, without using the word 'Facebook'.",COUNT=4|FORBIDDEN=Facebook,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
87,compliance_tier2,count_forbidden,medium,"Give exactly 3 database query languages, without using the word 'SQL'.",COUNT=3|FORBIDDEN=SQL,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
88,compliance_tier2,count_forbidden,medium,"List exactly 3 voting methods, without using the word 'majority'.",COUNT=3|FORBIDDEN=majority,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
89,compliance_tier2,count_forbidden,medium,"State exactly 4 schools of psychology, without using the word 'Freud'.",COUNT=4|FORBIDDEN=Freud,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
90,compliance_tier2,count_forbidden,medium,"Outline exactly 4 forms of poetry, without using the word 'sonnet'.",COUNT=4|FORBIDDEN=sonnet,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
91,compliance_tier2,count_forbidden,medium,"List exactly 4 common ML model families, without using the word 'neural'.",COUNT=4|FORBIDDEN=neural,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
92,compliance_tier2,count_forbidden,medium,"Name exactly 4 schools of architecture, without using the word 'Gothic'.",COUNT=4|FORBIDDEN=Gothic,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
93,compliance_tier2,count_forbidden,medium,"Provide exactly 3 common immune cells, without using the word 'T-cell'.",COUNT=3|FORBIDDEN=T-cell,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
94,compliance_tier2,count_forbidden,hard,"List exactly 3 mathematical proof techniques, without using the word 'induction'.",COUNT=3|FORBIDDEN=induction,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
95,compliance_tier2,count_forbidden,hard,"Identify exactly 3 quantum field theory concepts, without using the word 'quark'.",COUNT=3|FORBIDDEN=quark,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
96,compliance_tier2,count_forbidden,hard,"Enumerate exactly 3 compiler optimisation passes, without using the word 'inlining'.",COUNT=3|FORBIDDEN=inlining,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
97,compliance_tier2,count_forbidden,hard,"List exactly 3 schools of analytical philosophy, without using the word 'Wittgenstein'.",COUNT=3|FORBIDDEN=Wittgenstein,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
98,compliance_tier2,count_forbidden,hard,"Specify exactly 3 biochemical metabolic pathways, without using the word 'glycolysis'.",COUNT=3|FORBIDDEN=glycolysis,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
99,compliance_tier2,count_forbidden,hard,"Give exactly 3 topological invariants, without using the word 'homotopy'.",COUNT=3|FORBIDDEN=homotopy,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
100,compliance_tier2,count_forbidden,hard,"List exactly 4 linguistic subfields, without using the word 'syntax'.",COUNT=4|FORBIDDEN=syntax,tier2,strict,,,compliance,COUNT + FORBIDDEN combination,primary
101,compliance_tier2,count_format,easy,"Name exactly 4 common house pets, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
102,compliance_tier2,count_format,easy,"Name exactly 5 breakfast foods, formatted as a bullet list .",COUNT=5|FORMAT=bullet_list_newline,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
103,compliance_tier2,count_format,easy,"Name exactly 4 seasons of the year, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
104,compliance_tier2,count_format,easy,"Name exactly 3 primary colours, formatted as a bullet list .",COUNT=3|FORMAT=bullet_list_newline,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
105,compliance_tier2,count_format,easy,"Name exactly 4 major sports, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
106,compliance_tier2,count_format,easy,"Name exactly 5 common kitchen utensils, formatted as a numbered list.",COUNT=5|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
107,compliance_tier2,count_format,medium,"Name exactly 4 NoSQL databases, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
108,compliance_tier2,count_format,medium,"Name exactly 3 hormones produced by the pituitary, formatted as a bullet list .",COUNT=3|FORMAT=bullet_list_newline,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
109,compliance_tier2,count_format,medium,"Name exactly 4 common voting systems, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
110,compliance_tier2,count_format,medium,"Name exactly 3 schools of jurisprudence, formatted as a numbered list.",COUNT=3|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
111,compliance_tier2,count_format,medium,"Name exactly 3 hormones controlling metabolism, formatted as a bullet list .",COUNT=3|FORMAT=bullet_list_newline,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
112,compliance_tier2,count_format,medium,"Name exactly 4 common Python web frameworks, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
113,compliance_tier2,count_format,medium,"Name exactly 4 classical economic theorists, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
114,compliance_tier2,count_format,hard,"Name exactly 4 proof techniques in mathematics, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
115,compliance_tier2,count_format,hard,"Name exactly 3 quantum chromodynamics concepts, formatted as a bullet list .",COUNT=3|FORMAT=bullet_list_newline,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
116,compliance_tier2,count_format,hard,"Name exactly 4 compiler optimisation passes, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
117,compliance_tier2,count_format,hard,"Name exactly 3 schools of linguistic theory, formatted as a bullet list .",COUNT=3|FORMAT=bullet_list_newline,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
118,compliance_tier2,count_format,hard,"Name exactly 4 immune system cell types, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
119,compliance_tier2,count_format,hard,"Name exactly 3 heterodox economic theories, formatted as a numbered list.",COUNT=3|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
120,compliance_tier2,count_format,hard,"Name exactly 4 formal logic systems, formatted as a numbered list.",COUNT=4|FORMAT=numbered_list,tier2,strict,,,compliance,COUNT + FORMAT combination,primary
121,compliance_tier2,count_length,easy,"Name exactly 4 benefits of regular physical exercise, each in under 8 words.",COUNT=4|MAX_WORDS=8,tier2,strict,exercise,anchor_exercise_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
122,compliance_tier2,count_length,easy,"Provide exactly 3 effects of daily meditation practice, each in under 9 words.",COUNT=3|MAX_WORDS=9,tier2,strict,meditation,anchor_meditation_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
123,compliance_tier2,count_length,medium,"Identify exactly 4 consequences of climate change, each in under 9 words.",COUNT=4|MAX_WORDS=9,tier2,strict,climate,anchor_climate_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
124,compliance_tier2,count_length,easy,"Enumerate exactly 4 forms of renewable energy generation, each in under 7 words.",COUNT=4|MAX_WORDS=7,tier2,strict,renewable,anchor_renewable_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
125,compliance_tier2,count_length,medium,"Specify exactly 4 programming languages used in industry, each in under 6 words.",COUNT=4|MAX_WORDS=6,tier2,strict,proglang,anchor_proglang_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
126,compliance_tier2,count_length,easy,"Give exactly 5 capital cities of European nations, each in under 5 words.",COUNT=5|MAX_WORDS=5,tier2,strict,eurocaps,anchor_eurocaps_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
127,compliance_tier2,count_length,medium,"State exactly 4 ancient civilisations from world history, each in under 7 words.",COUNT=4|MAX_WORDS=7,tier2,strict,civilisations,anchor_civilisations_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
128,compliance_tier2,count_length,medium,"Outline exactly 4 distinct music genres, each in under 6 words.",COUNT=4|MAX_WORDS=6,tier2,strict,musicgenres,anchor_musicgenres_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
129,compliance_tier2,count_length,easy,"Name exactly 4 fundamental cooking techniques, each in under 6 words.",COUNT=4|MAX_WORDS=6,tier2,strict,cooking,anchor_cooking_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
130,compliance_tier2,count_length,hard,"Provide exactly 4 well-documented psychological biases, each in under 8 words.",COUNT=4|MAX_WORDS=8,tier2,strict,biases,anchor_biases_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
131,compliance_tier2,count_length,medium,"Identify exactly 3 milestones in human space exploration, each in under 10 words.",COUNT=3|MAX_WORDS=10,tier2,strict,space,anchor_space_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
132,compliance_tier2,count_length,medium,"Enumerate exactly 4 scientists who shaped modern thought, each in under 7 words.",COUNT=4|MAX_WORDS=7,tier2,strict,scientists,anchor_scientists_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
133,compliance_tier2,count_length,hard,"Specify exactly 3 economic systems studied in macroeconomics, each in under 9 words.",COUNT=3|MAX_WORDS=9,tier2,strict,economic,anchor_economic_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
134,compliance_tier2,count_length,hard,"Give exactly 4 major literary movements, each in under 7 words.",COUNT=4|MAX_WORDS=7,tier2,strict,literary,anchor_literary_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
135,compliance_tier2,count_length,hard,"State exactly 4 architectural styles from history, each in under 7 words.",COUNT=4|MAX_WORDS=7,tier2,strict,architecture,anchor_architecture_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
136,compliance_tier2,count_length,hard,"Outline exactly 3 drivers of biodiversity loss, each in under 10 words.",COUNT=3|MAX_WORDS=10,tier2,strict,biodiversity,anchor_biodiversity_t2,compliance,Adds MAX_WORDS; same topic as tier1 — isolates added constraint,primary
137,compliance_tier2,count_length,easy,"State exactly 4 breakfast foods, each in under 7 words.",COUNT=4|MAX_WORDS=7,tier2,strict,,,compliance,"COUNT + MAX_WORDS combination, non-anchor topic",primary
138,compliance_tier2,count_length,easy,"Outline exactly 5 Asian countries, each in under 5 words.",COUNT=5|MAX_WORDS=5,tier2,strict,,,compliance,"COUNT + MAX_WORDS combination, non-anchor topic",primary
139,compliance_tier2,count_length,medium,"List exactly 4 SQL clauses, each in under 6 words.",COUNT=4|MAX_WORDS=6,tier2,strict,,,compliance,"COUNT + MAX_WORDS combination, non-anchor topic",primary
140,compliance_tier2,count_length,hard,"Name exactly 3 topological invariants, each in under 9 words.",COUNT=3|MAX_WORDS=9,tier2,strict,,,compliance,"COUNT + MAX_WORDS combination, non-anchor topic",primary
141,compliance_tier2,count_order,easy,"Provide exactly 5 European capital cities, in alphabetical order.",COUNT=5|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
142,compliance_tier2,count_order,easy,"List exactly 5 common fruits, in alphabetical order.",COUNT=5|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
143,compliance_tier2,count_order,easy,"Identify exactly 4 musical instruments, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
144,compliance_tier2,count_order,easy,"Enumerate exactly 4 months of the year, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
145,compliance_tier2,count_order,easy,"List exactly 4 continents of the world, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
146,compliance_tier2,count_order,easy,"Specify exactly 4 common house pets, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
147,compliance_tier2,count_order,medium,"Give exactly 4 major rivers of the world, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
148,compliance_tier2,count_order,medium,"List exactly 4 schools of psychology, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
149,compliance_tier2,count_order,medium,"State exactly 4 common ML frameworks, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
150,compliance_tier2,count_order,medium,"Outline exactly 4 Greek philosophers, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
151,compliance_tier2,count_order,medium,"List exactly 4 classical composers, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
152,compliance_tier2,count_order,medium,"Name exactly 4 major Indian states, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
153,compliance_tier2,count_order,medium,"Provide exactly 4 Renaissance painters, in alphabetical order.",COUNT=4|ORDER=alphabetical,tier2,strict,,,compliance,COUNT + ORDER combination,primary
