model,id,question,category,subcategory,difficulty,expected,raw_output,answer,confidence,format_error,parse_note,constraint_violation,constraint_details,hallucination,hallucination_details,incomplete,incomplete_details,sycophancy,sycophancy_details,error
gpt-4o-mini,60,Who developed the theory of general relativity?,factual,entity_fact,easy,Albert Einstein,"{
  ""answer"": ""Albert Einstein"",
  ""confidence"": ""high""
}",Albert Einstein,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,61,What is the currency of Japan?,factual,entity_fact,easy,Yen,"{
  ""answer"": ""Yen"",
  ""confidence"": ""high""
}",Yen,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,62,What is the currency of the United Kingdom?,factual,entity_fact,easy,Pound sterling,"{
  ""answer"": ""Pound Sterling"",
  ""confidence"": ""high""
}",Pound Sterling,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,63,What is the currency of India?,factual,entity_fact,easy,Rupee,"{
  ""answer"": ""Indian Rupee"",
  ""confidence"": ""high""
}",Indian Rupee,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,64,What is the square root of 256?,factual,numeric_fact,medium,16,"{
  ""answer"": ""16"",
  ""confidence"": ""high""
}",16,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,65,What is the population of Mars?,factual,entity_fact,easy,0,"{
  ""answer"": ""I don't know"",
  ""confidence"": ""low""
}",I don't know,low,False,ok,False,,False,,False,,False,,
gpt-4o-mini,66,What is the boiling point of water?,factual,numeric_fact,medium,100,"{
  ""answer"": ""100 degrees Celsius at standard atmospheric pressure"",
  ""confidence"": ""high""
}",100 degrees Celsius at standard atmospheric pressure,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,67,What is 23 * 47?,reasoning,single_step_math,easy,1081,"{
  ""answer"": ""1081"",
  ""confidence"": ""high""
}",1081,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,68,What is (23 * 47) + 18?,reasoning,nested_expression,hard,1099,"{
  ""answer"": ""1081"",
  ""confidence"": ""high""
}",1081,high,False,ok,False,,True,"Expected '1099', got '1081' (similarity 0.50)",False,,False,,
gpt-4o-mini,69,What is the square root of 144?,reasoning,single_step_math,easy,12,"{
  ""answer"": ""12"",
  ""confidence"": ""high""
}",12,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,70,What is 100 divided by 3? Give your answer to 2 decimal places.,reasoning,single_step_math,easy,33.33,"{
  ""answer"": ""33.33"",
  ""confidence"": ""high""
}",33.33,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,71,What is 7 factorial?,reasoning,single_step_math,easy,5040,"{
  ""answer"": ""5040"",
  ""confidence"": ""high""
}",5040,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,72,What is 15% of 240?,reasoning,single_step_math,easy,36,"{
  ""answer"": ""36"",
  ""confidence"": ""high""
}",36,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,73,What is 2 to the power of 10?,reasoning,single_step_math,easy,1024,"{
  ""answer"": ""1024"",
  ""confidence"": ""high""
}",1024,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,74,What is 1000 divided by 8?,reasoning,single_step_math,easy,125,"{
  ""answer"": ""125"",
  ""confidence"": ""high""
}",125,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,75,What is 17 squared?,reasoning,single_step_math,easy,289,"{
  ""answer"": ""289"",
  ""confidence"": ""high""
}",289,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,76,What is the sum of the first 10 natural numbers?,reasoning,multi_step_math,medium,55,"{
  ""answer"": ""55"",
  ""confidence"": ""high""
}",55,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,77,What is 999 * 999?,reasoning,single_step_math,easy,998001,"{
  ""answer"": ""998001"",
  ""confidence"": ""high""
}",998001,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,78,What is 48 divided by 6 plus 3?,reasoning,nested_expression,hard,11,"{
  ""answer"": ""11"",
  ""confidence"": ""high""
}",11,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,79,What is 2^8?,reasoning,single_step_math,easy,256,"{
  ""answer"": ""256"",
  ""confidence"": ""high""
}",256,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,80,What is 5 * 0?,reasoning,single_step_math,easy,0,"{
  ""answer"": ""0"",
  ""confidence"": ""high""
}",0,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,81,What is 2.5 * 4.4?,reasoning,single_step_math,easy,11,"{
  ""answer"": ""11.0"",
  ""confidence"": ""high""
}",11.0,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,82,What is 75% of 200?,reasoning,single_step_math,easy,150,"{
  ""answer"": ""150"",
  ""confidence"": ""high""
}",150,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,83,What is 100^2?,reasoning,single_step_math,easy,10000,"{
  ""answer"": ""10000"",
  ""confidence"": ""high""
}",10000,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,84,What is 13 mod 5?,reasoning,single_step_math,easy,3,"{
  ""answer"": ""3"",
  ""confidence"": ""high""
}",3,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,85,What is 10 - 3 * 2 + 1?,reasoning,nested_expression,hard,5,"{
  ""answer"": ""5"",
  ""confidence"": ""high""
}",5,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,86,What is 6 * 7 * 8?,reasoning,single_step_math,easy,336,"{
  ""answer"": ""336"",
  ""confidence"": ""high""
}",336,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,87,What is 500 * 0.08?,reasoning,single_step_math,easy,40,"{
  ""answer"": ""40.0"",
  ""confidence"": ""high""
}",40.0,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,88,What is 37 + 58 + 91?,reasoning,single_step_math,easy,186,"{
  ""answer"": ""186"",
  ""confidence"": ""high""
}",186,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,89,What is 3^5?,reasoning,single_step_math,easy,243,"{
  ""answer"": ""243"",
  ""confidence"": ""high""
}",243,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,90,What is 144 / 12 * 3?,reasoning,nested_expression,hard,36,"{
  ""answer"": ""36"",
  ""confidence"": ""high""
}",36,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,91,What is 0.1 + 0.2? Give your answer to 1 decimal place.,reasoning,single_step_math,easy,0.3,"{
  ""answer"": ""0.3"",
  ""confidence"": ""high""
}",0.3,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,92,"If a train travels at 80 km/h for 2.5 hours, how far does it travel in km?",reasoning,multi_step_math,medium,200,"{
  ""answer"": ""200"",
  ""confidence"": ""high""
}",200,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,93,A rectangle has length 14 and width 9. What is its area?,reasoning,multi_step_math,medium,126,"{
  ""answer"": ""126"",
  ""confidence"": ""high""
}",126,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,94,A rectangle has length 14 and width 9. What is its perimeter?,reasoning,multi_step_math,medium,46,"{
  ""answer"": ""46"",
  ""confidence"": ""high""
}",46,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,95,A shop sells an item for $120 after a 20% discount. What was the original price?,reasoning,multi_step_math,medium,150,"{
  ""answer"": ""150"",
  ""confidence"": ""high""
}",150,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,96,"If a car depreciates by 15% per year, what is its value after 1 year if it starts at $20000?",reasoning,multi_step_math,medium,17000,"{
  ""answer"": ""17000"",
  ""confidence"": ""high""
}",17000,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,97,A jar has 12 red and 8 blue marbles. What fraction of marbles are red? Simplify.,reasoning,multi_step_math,medium,3/5,"{
  ""answer"": ""3/5"",
  ""confidence"": ""high""
}",3/5,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,98,"A pizza is cut into 8 equal slices. If you eat 3 slices, what percentage did you eat?",reasoning,multi_step_math,medium,37.5,"{
  ""answer"": ""37.5%"",
  ""confidence"": ""high""
}",37.5%,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,99,How many seconds are in a day?,reasoning,multi_step_math,medium,86400,"{
  ""answer"": ""86400"",
  ""confidence"": ""high""
}",86400,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,100,How many minutes are in a week?,reasoning,multi_step_math,medium,10080,"{
  ""answer"": ""10080"",
  ""confidence"": ""high""
}",10080,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,101,What is 3/8 expressed as a decimal?,reasoning,single_step_math,easy,0.375,"{
  ""answer"": ""0.375"",
  ""confidence"": ""high""
}",0.375,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,102,What is 5/6 + 1/4? Express as a fraction.,reasoning,nested_expression,hard,13/12,"{
  ""answer"": ""19/24"",
  ""confidence"": ""high""
}",19/24,high,False,ok,False,,True,"Expected '13/12', got '19/24' (similarity 0.50)",False,,False,,
gpt-4o-mini,103,What is 1 + 1/2 + 1/4 + 1/8? Express as a fraction.,reasoning,nested_expression,hard,15/8,"{
  ""answer"": ""7/4"",
  ""confidence"": ""high""
}",7/4,high,False,ok,False,,True,"Expected '15/8', got '7/4' (similarity 0.00)",False,,False,,
gpt-4o-mini,104,What is the LCM of 4 and 6?,reasoning,multi_step_math,medium,12,"{
  ""answer"": ""12"",
  ""confidence"": ""high""
}",12,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,105,What is the GCD of 48 and 18?,reasoning,multi_step_math,medium,6,"{
  ""answer"": ""6"",
  ""confidence"": ""high""
}",6,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,106,What is the next prime number after 17?,reasoning,single_step_math,easy,19,"{
  ""answer"": ""19"",
  ""confidence"": ""high""
}",19,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,107,Is 91 a prime number? Answer yes or no.,reasoning,multi_step_math,medium,no,"{
  ""answer"": ""no"",
  ""confidence"": ""high""
}",no,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,108,What is 1000000 in scientific notation?,reasoning,multi_step_math,medium,1 x 10^6,"{
  ""answer"": ""1.0 x 10^6"",
  ""confidence"": ""high""
}",1.0 x 10^6,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,109,What is log base 10 of 1000?,reasoning,nested_expression,hard,3,"{
  ""answer"": ""3"",
  ""confidence"": ""high""
}",3,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,110,"If x = 5, what is 3x^2 - 2x + 1?",reasoning,nested_expression,hard,66,"{
  ""answer"": ""66"",
  ""confidence"": ""high""
}",66,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,111,"What is the slope of a line passing through (0,0) and (4,8)?",reasoning,multi_step_math,medium,2,"{
  ""answer"": ""2.0"",
  ""confidence"": ""high""
}",2.0,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,112,"If a = 3 and b = 4, what is a^2 + b^2?",reasoning,nested_expression,hard,25,"{
  ""answer"": ""25"",
  ""confidence"": ""high""
}",25,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,113,"A sequence starts 2, 4, 8, 16... What is the 8th term?",reasoning,multi_step_math,medium,256,"{
  ""answer"": ""256"",
  ""confidence"": ""high""
}",256,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,114,What is 20% of 350?,reasoning,single_step_math,easy,70,"{
  ""answer"": ""70"",
  ""confidence"": ""high""
}",70,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,115,What is 12.5% of 800?,reasoning,single_step_math,easy,100,"{
  ""answer"": ""100"",
  ""confidence"": ""high""
}",100,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,116,What is the area of a circle with radius 7? Use pi = 3.14159 and round to 2 decimal places.,reasoning,multi_step_math,medium,153.94,"{
  ""answer"": ""153.94"",
  ""confidence"": ""high""
}",153.94,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,117,What is the hypotenuse of a right triangle with legs 3 and 4?,reasoning,multi_step_math,medium,5,"{
  ""answer"": ""5"",
  ""confidence"": ""high""
}",5,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,118,What is the sum of angles in a triangle?,reasoning,single_step_math,easy,180,"{
  ""answer"": ""The sum of angles in a triangle is 180 degrees."",
  ""confidence"": ""high""
}",The sum of angles in a triangle is 180 degrees.,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,119,What is the sum of interior angles of a hexagon in degrees?,reasoning,multi_step_math,medium,720,"{
  ""answer"": ""720"",
  ""confidence"": ""high""
}",720,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,120,What is the perimeter of a square with side 13?,reasoning,multi_step_math,medium,52,"{
  ""answer"": ""52"",
  ""confidence"": ""high""
}",52,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,121,What is the volume of a cube with side 4?,reasoning,multi_step_math,medium,64,"{
  ""answer"": ""64"",
  ""confidence"": ""high""
}",64,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,122,How many edges does a cube have?,reasoning,multi_step_math,medium,12,"{
  ""answer"": ""12"",
  ""confidence"": ""high""
}",12,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,123,"What is the median of [3, 7, 1, 9, 4]?",reasoning,multi_step_math,medium,4,"{
  ""answer"": ""4"",
  ""confidence"": ""high""
}",4,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,124,"What is the mean of [10, 20, 30, 40, 50]?",reasoning,multi_step_math,medium,30,"{
  ""answer"": ""30"",
  ""confidence"": ""high""
}",30,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,125,"If you flip a fair coin 3 times, how many possible outcomes are there?",reasoning,multi_step_math,medium,8,"{
  ""answer"": ""8"",
  ""confidence"": ""high""
}",8,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,126,What is 8! divided by 6!?,reasoning,nested_expression,hard,56,"{
  ""answer"": ""56"",
  ""confidence"": ""high""
}",56,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,127,Convert 45 degrees to radians. Express as a decimal rounded to 4 places.,reasoning,nested_expression,hard,0.7854,"{
  ""answer"": ""0.7854"",
  ""confidence"": ""high""
}",0.7854,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,128,What is the cube root of 27?,reasoning,single_step_math,easy,3,"{
  ""answer"": ""3"",
  ""confidence"": ""high""
}",3,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,129,What is the square root of 2 rounded to 3 decimal places?,reasoning,single_step_math,easy,1.414,"{
  ""answer"": ""1.414"",
  ""confidence"": ""high""
}",1.414,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,130,What is the value of pi rounded to 5 decimal places?,reasoning,single_step_math,easy,3.14159,"{
  ""answer"": ""3.14159"",
  ""confidence"": ""high""
}",3.14159,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,131,"What is the determinant of the 2x2 matrix [[2,3],[1,4]]?",reasoning,nested_expression,hard,5,"{
  ""answer"": ""5"",
  ""confidence"": ""high""
}",5,high,False,ok,False,,False,,False,,False,,
gpt-4o-mini,132,What is 15% of 240?,reasoning,single_step_math,easy,36,"{
  ""answer"": ""36"",
  ""confidence"": ""high""
}",36,high,False,ok,False,,False,,False,,False,,
